-1.000e-04,-0.0004
-9.998e-05,-0.0016
-9.996e-05,-0.0008
-9.994e-05,0.0004
-9.992e-05,0.0016
-9.990e-05,-0.0004
-9.988e-05,0.0012
-9.986e-05,0.0008
-9.984e-05,0.0008
-9.982e-05,0
-9.980e-05,-0.0004
-9.978e-05,0
-9.976e-05,0.0008
-9.974e-05,0.0024
-9.972e-05,-0.0004
-9.970e-05,0.0024
-9.968e-05,-0.0012
-9.966e-05,0.0012
-9.964e-05,0.0012
-9.962e-05,0
-9.960e-05,0.0016
-9.958e-05,0.0016
-9.956e-05,0.0016
-9.954e-05,0
-9.952e-05,-0.0016
-9.950e-05,0
-9.948e-05,-0.0012
-9.946e-05,0.0004
-9.944e-05,0.0008
-9.942e-05,0
-9.940e-05,-0.0004
-9.938e-05,-0.0008
-9.936e-05,0.0004
-9.934e-05,0.0016
-9.932e-05,0.0028
-9.930e-05,-0.0016
-9.928e-05,0.002
-9.926e-05,-0.0016
-9.924e-05,-0.0012
-9.922e-05,0.0004
-9.920e-05,0.002
-9.918e-05,0.0004
-9.916e-05,-0.0012
-9.914e-05,-0.0008
-9.912e-05,-0.0016
-9.910e-05,-0.0008
-9.908e-05,0.0004
-9.906e-05,0.0004
-9.904e-05,0.0008
-9.902e-05,0.0012
-9.900e-05,-0.0016
-9.898e-05,0.0008
-9.896e-05,-0.0004
-9.894e-05,0.0008
-9.892e-05,0.004
-9.890e-05,0.0052
-9.888e-05,0.0056
-9.886e-05,-0.0008
-9.884e-05,-0.0008
-9.882e-05,0.0032
-9.880e-05,-0.0032
-9.878e-05,-0.0036
-9.876e-05,0.0016
-9.874e-05,0.0024
-9.872e-05,0.0032
-9.870e-05,0.0016
-9.868e-05,0.0028
-9.866e-05,0.0028
-9.864e-05,0.0028
-9.862e-05,0.0024
-9.860e-05,0.0024
-9.858e-05,0.0012
-9.856e-05,0.0032
-9.854e-05,0.0028
-9.852e-05,0.0032
-9.850e-05,0.002
-9.848e-05,0.002
-9.846e-05,0.0016
-9.844e-05,0.0032
-9.842e-05,0.0048
-9.840e-05,0.002
-9.838e-05,-0.0004
-9.836e-05,0.0016
-9.834e-05,0.0048
-9.832e-05,0.0036
-9.830e-05,0.0036
-9.828e-05,0.0024
-9.826e-05,0.0028
-9.824e-05,0.0028
-9.822e-05,0.0048
-9.820e-05,0.0032
-9.818e-05,0.0028
-9.816e-05,0.0036
-9.814e-05,0.0036
-9.812e-05,0.004
-9.810e-05,0.0016
-9.808e-05,0.0036
-9.806e-05,0.0028
-9.804e-05,0.0016
-9.802e-05,0.0016
-9.800e-05,0.0016
-9.798e-05,0.0004
-9.796e-05,0.0024
-9.794e-05,0.0056
-9.792e-05,0.0044
-9.790e-05,0.0048
-9.788e-05,0.0044
-9.786e-05,0.0016
-9.784e-05,0.0012
-9.782e-05,0.002
-9.780e-05,0.0048
-9.778e-05,0.0056
-9.776e-05,0.0048
-9.774e-05,0.0032
-9.772e-05,0.0024
-9.770e-05,0.004
-9.768e-05,0.0016
-9.766e-05,0.0036
-9.764e-05,0.0028
-9.762e-05,0.0036
-9.760e-05,0.002
-9.758e-05,0.0016
-9.756e-05,0.0028
-9.754e-05,0.0024
-9.752e-05,0.0024
-9.750e-05,0.0028
-9.748e-05,0.0032
-9.746e-05,0.0016
-9.744e-05,0.002
-9.742e-05,0.0028
-9.740e-05,0.0024
-9.738e-05,0.0044
-9.736e-05,0.0032
-9.734e-05,0.0036
-9.732e-05,0.0048
-9.730e-05,0.0048
-9.728e-05,0.0028
-9.726e-05,0.0032
-9.724e-05,0.0024
-9.722e-05,0.0028
-9.720e-05,0.0044
-9.718e-05,0.0028
-9.716e-05,0.0008
-9.714e-05,0.0008
-9.712e-05,0.0036
-9.710e-05,0.0044
-9.708e-05,0.0048
-9.706e-05,0.0024
-9.704e-05,0.0024
-9.702e-05,0.0024
-9.700e-05,0.0036
-9.698e-05,0.0024
-9.696e-05,0.0036
-9.694e-05,0.004
-9.692e-05,0.0036
-9.690e-05,0.004
-9.688e-05,0.0028
-9.686e-05,0.0032
-9.684e-05,0.004
-9.682e-05,0.0012
-9.680e-05,0.0036
-9.678e-05,0.004
-9.676e-05,0.006
-9.674e-05,0.0036
-9.672e-05,0.004
-9.670e-05,0.0064
-9.668e-05,0.0036
-9.666e-05,0.0044
-9.664e-05,0.0028
-9.662e-05,0.0056
-9.660e-05,0.0052
-9.658e-05,0.0056
-9.656e-05,0.0052
-9.654e-05,0.0036
-9.652e-05,0.004
-9.650e-05,0.0028
-9.648e-05,0.0044
-9.646e-05,0.0028
-9.644e-05,0.0028
-9.642e-05,0.004
-9.640e-05,0.0052
-9.638e-05,0.004
-9.636e-05,0.004
